surface,tax,abundance,abundance_rank,var,var_rank
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylorubrum,0.0039566907254239,40,8.23557012121245e-05,46
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus,0.00594145697588593,29,8.23317774610612e-05,47
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,0.00663719969193825,24,6.08538738068658e-05,48
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Rothia,0.00266820299241095,59,5.55145746025909e-05,49
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0.00760606708304641,20,5.46448287678465e-05,50
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella,0.00219094046118138,67,5.4059658595676e-05,51
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax,0.00347624184225942,46,3.3393262945417e-05,52
bench,sk__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thermothelomyces,0.00207847526597179,70,3.13798892890321e-05,53
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium,0.00277529967145874,55,2.9555965638979e-05,54
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Rahnella,0.000367715636105434,208,2.94745971358188e-05,55
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter,0.00259560660299317,62,2.79837559057059e-05,56
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus,0.00265298388264213,61,2.66121246245003e-05,57
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas,0.00267571240085637,58,2.551122511155e-05,58
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Ochrobactrum,0.000562934854850722,159,2.18299556836931e-05,59
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas,0.00130412563507954,94,2.1097115517991e-05,60
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0.00114991880790216,103,2.01354272822671e-05,61
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia,0.0043810661687931,37,1.9802132561099e-05,62
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium,0.00436290854295875,38,1.97804075977386e-05,63
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus,0.00381822002606114,42,1.97270944475857e-05,64
bench,sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium,0.000855837764612939,123,1.78133345463447e-05,65
bench,sk__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thermothielavioides,0.00143145969791648,84,1.73396387050239e-05,66
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium,0.000673158752301262,136,1.68473121893423e-05,67
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium,0.0013483451594062,88,1.68012668013003e-05,68
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia,0.00188379466244303,76,1.61024243663964e-05,69
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis,0.00286494899241457,53,1.59208733212263e-05,70
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia,0.00329095370961338,49,1.58303347435291e-05,71
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas,0.000536674181279001,164,1.54117428744121e-05,72
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria,0.00172373173482775,77,1.46079491688242e-05,73
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Pseudorhizobium,0.000600694647117691,149,1.33924399034291e-05,74
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes,0.00332275040239731,48,1.32003370432509e-05,75
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium,0.00243403576236296,65,1.20320676479465e-05,76
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella,0.00100352332918781,110,1.18414063823765e-05,77
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas,0.00283626623705414,54,1.11742593134608e-05,78
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Kytococcaceae;g__Kytococcus,0.00135971208485407,87,1.03374471251413e-05,79
bench,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0.00097820657941287,112,1.02359906968577e-05,80
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus,0.000399192784203923,197,9.8344211625215e-06,81
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,0.00168992680446528,78,9.58630501246723e-06,82
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus,0.00265396459486996,60,9.46113582370772e-06,83
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia,0.000528103443475625,167,9.06734242791841e-06,84
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella,0.000382303946268392,203,8.74114395713125e-06,85
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium,0.00193843577013937,74,8.64928195653445e-06,86
bench,sk__Bacteria;p__Cyanobacteria;c__;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis,0.000796397228905889,125,8.63100993568986e-06,87
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,0.00147308905411945,82,8.483087590587e-06,88
bench,sk__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida,0.00148363191233543,80,8.40093302345606e-06,89
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia,0.00134052941778871,90,8.10648852250687e-06,90
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus,0.00316111234518138,50,7.99509155740056e-06,91
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia,0.00272454067136381,57,7.63596277153856e-06,92
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas,0.00338323403832919,47,7.36138491993319e-06,93
bench,sk__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Trypanosomatida;f__Trypanosomatidae;g__Leishmania,0.0012936439038814,95,7.10077526925475e-06,94
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis,0.00274979129611782,56,6.41220260708232e-06,95
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia,0.000721977642002884,132,6.39305007255139e-06,96
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.000765756424583542,130,5.94104170227746e-06,97
bench,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium,0.000957723889752047,114,5.5174747801954e-06,98
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter,0.000652541220591597,139,4.71931599976506e-06,99
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Pimelobacter,0.00228610085867465,66,4.6656867422205e-06,100
door,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Negativicoccus,0.206638297898017,1,0.0504838824757691,1
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0.071140523389227,3,0.0281940376209644,2
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,0.123770237429912,2,0.0231704197137247,3
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter,0.0229358822684168,7,0.00607987534194107,4
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium,0.058117844815507,4,0.00564302126435782,5
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas,0.0164203463567591,11,0.00475304182035525,6
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,0.0254582503295682,6,0.00406350573211775,7
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia,0.0201951032426062,8,0.00379450705951869,8
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium,0.00885627378298421,17,0.00336622263600635,9
door,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter,0.00681351876877788,22,0.00250972908162859,10
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus,0.00584987318373813,26,0.00237372829803037,11
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus,0.0103618612060864,15,0.00203078570168964,12
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Kocuria,0.01671909818254,10,0.00202875572729167,13
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus,0.0142164966575293,12,0.00133991904927158,14
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Micrococcus,0.0282998346579211,5,0.0012979171827168,15
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus,0.00337412499516574,37,0.00127321064055711,16
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,0.00863641854588316,19,0.0012157697429102,17
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Pseudorhizobium,0.00271363633681728,40,0.00112024302203224,18
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,0.0110124161203714,13,0.000724610981837873,19
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.0109735881056684,14,0.000722991115046575,20
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,0.0045058934513256,31,0.000702518954801177,21
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0.00353276890041046,36,0.000546248122134346,22
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella,0.00207609568773426,50,0.000504377529907278,23
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0.0184526090190289,9,0.000341621101446011,24
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium,0.00879003724290351,18,0.000329084302862016,25
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Kytococcaceae;g__Kytococcus,0.00460915619164789,30,0.000282874517763905,26
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia,0.00265540347703396,41,0.000264645518245723,27
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc,0.00251260842941675,46,0.000260163990696239,28
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter,0.00161611786827157,64,0.000249697552642278,29
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus,0.00731738149485288,21,0.000187732909464241,30
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.00602168258272631,25,0.000156685381748103,31
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0.00479680589077792,28,0.000155495760368518,32
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium,0.0040658206481567,33,0.000139474864076842,33
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus,0.00376276062409875,35,0.000107377064720582,34
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella,0.00633866865653591,24,0.000105199817323468,35
door,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus,0.00803210234130333,20,0.000103339410897001,36
door,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora,0.00120102838506915,83,8.96422975843686e-05,37
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas,0.00138365003164118,73,8.93497724375734e-05,38
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,0.00935528905145981,16,8.93390935961866e-05,39
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,0.00113138364901879,85,8.65942143257903e-05,40
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea,0.00256350181751216,45,8.65611949871861e-05,41
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,0.00395368097242023,34,7.98132736240155e-05,42
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,0.00461132209071643,29,7.89041051455585e-05,43
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium,0.00522005797691193,27,7.20031503318531e-05,44
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.00670366078463275,23,7.17735367391723e-05,45
door,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium,0.00163436424398406,62,7.0865722728142e-05,46
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.00431108221022131,32,6.9042496847156e-05,47
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0.00191440940601944,53,4.94176343174962e-05,48
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium,0.00247512659173375,47,4.80580477988554e-05,49
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus,0.000566130957167708,129,4.75356925648806e-05,50
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium,0.00163618069733576,61,4.03374781899773e-05,51
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus,0.000929465036781275,91,3.83784719360826e-05,52
door,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella,0.00198567251539431,51,3.54627631238619e-05,53
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas,0.00334875326821521,38,3.52583289637994e-05,54
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus,0.00168898504011145,58,3.34021014723635e-05,55
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium,0.00213135243062057,49,3.31713658819957e-05,56
door,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium,0.000819746106034262,105,2.89761436049527e-05,57
door,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermacoccaceae;g__Luteipulveratus,0.00153448394350567,68,2.42086346617445e-05,58
door,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia,0.000873348058221528,96,2.37360005994348e-05,59
door,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,0.000831189661602546,101,2.29475034010758e-05,60
